S No.,TIC ID,Rotation Period (days),Variability Presence,Variability Type,SNR,Variational Amplitude
1,101255821,4.692406 d,Present,Eclipsing Binary or Pulsating Star,17.56,136.074402 electron / s
2,101255849,2.214653 d,Present,Eclipsing Binary or Pulsating Star,663.30,178775.000000 electron / s
3,101255946,0.645737 d,Present,Eclipsing Binary or Pulsating Star,9.66,71.432388 electron / s
4,101255979,0.645737 d,Present,Eclipsing Binary or Pulsating Star,256.01,16806.027344 electron / s
5,101256057,1.705903 d,Present,Eclipsing Binary or Pulsating Star,34.53,438.439636 electron / s
6,101256059,0.130956 d,Present,Eclipsing Binary or Pulsating Star,105.25,594.628906 electron / s
7,101256070,5.442643 d,Present,Eclipsing Binary or Pulsating Star,82.12,105.938034 electron / s
8,101256083,3.007776 d,Present,Eclipsing Binary or Pulsating Star,221.01,361.752319 electron / s
9,101256093,16.327928 d,Present,Eclipsing Binary or Pulsating Star,303.90,1021.359619 electron / s
10,101256131,0.003599 d,Present,Eclipsing Binary or Pulsating Star,3.81,90.935951 electron / s
11,126098244,4.762312 d,Present,Eclipsing Binary or Pulsating Star,363.82,335.803894 electron / s
12,126098255,3.361632 d,Present,Eclipsing Binary or Pulsating Star,291.68,267.925781 electron / s
13,126098275,2.241088 d,Present,Eclipsing Binary or Pulsating Star,7.25,56.195309 electron / s
14,126098296,4.969369 d,Present,Eclipsing Binary or Pulsating Star,4.14,76.050308 electron / s
15,126098303,0.003929 d,Present,Eclipsing Binary or Pulsating Star,3.67,71.372742 electron / s
16,126098356,6.015552 d,Present,Eclipsing Binary or Pulsating Star,402.87,774.146484 electron / s
17,26390966,6.061491 d,Present,Eclipsing Binary or Pulsating Star,32.05,78.067734 electron / s
18,26390994,3.174875 d,Present,Eclipsing Binary or Pulsating Star,49.21,79.642944 electron / s
19,408195428,4.762312 d,Present,Eclipsing Binary or Pulsating Star,94.42,235.919678 electron / s
20,101220458,7.166329 d,Present,Eclipsing Binary or Pulsating Star,50.21,195.227829 electron / s
21,504952282,2.218228 d,Present,Eclipsing Binary or Pulsating Star,178.67,62803.312500 electron / s
22,641706865,2.597625 d,Present,Eclipsing Binary or Pulsating Star,51.84,142.573380 electron / s
