S No.,TIC ID,Rotation Period (days),Variability Presence,Variability Type
1,101255821,4.692406 d,Present,Eclipsing Binary or Pulsating Star
2,101255849,2.214653 d,Present,Eclipsing Binary or Pulsating Star
3,101255946,0.645737 d,Present,Eclipsing Binary or Pulsating Star
4,101255979,0.645737 d,Present,Eclipsing Binary or Pulsating Star
5,101256057,1.705903 d,Present,Eclipsing Binary or Pulsating Star
6,101256059,0.130956 d,Present,Eclipsing Binary or Pulsating Star
7,101256070,5.442643 d,Present,Eclipsing Binary or Pulsating Star
8,101256083,3.007776 d,Present,Eclipsing Binary or Pulsating Star
9,101256093,16.327928 d,Present,Eclipsing Binary or Pulsating Star
10,101256131,0.003599 d,Present,Eclipsing Binary or Pulsating Star
11,126098244,4.762312 d,Present,Eclipsing Binary or Pulsating Star
12,126098255,3.361632 d,Present,Eclipsing Binary or Pulsating Star
13,126098275,2.241088 d,Present,Eclipsing Binary or Pulsating Star
14,126098296,4.969369 d,Present,Eclipsing Binary or Pulsating Star
15,126098303,0.003929 d,Present,Eclipsing Binary or Pulsating Star
16,126098356,6.015552 d,Present,Eclipsing Binary or Pulsating Star
17,26390966,6.061491 d,Present,Eclipsing Binary or Pulsating Star
18,26390994,3.174875 d,Present,Eclipsing Binary or Pulsating Star
19,408195428,4.762312 d,Present,Eclipsing Binary or Pulsating Star
20,101220458,7.166329 d,Present,Eclipsing Binary or Pulsating Star
21,504952282,2.218228 d,Present,Eclipsing Binary or Pulsating Star
22,641706865,2.597625 d,Present,Eclipsing Binary or Pulsating Star
